players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
26,27.6,58.8,38,418,3420,38,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,1.82,1.37,3.18,1.53,2.89,1.79,1.31,3.1,1.56,2.87,/en/squads/53a2f082/2019-2020/Real-Madrid-Stats
27,24.8,56.2,38,418,3420,38,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,1.42,1.0,2.42,1.32,2.32,1.29,0.93,2.22,1.19,2.12,/en/squads/e31d1cd9/2019-2020/Real-Sociedad-Stats
26,27.7,57.9,38,418,3420,38,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,1.39,0.92,2.32,1.21,2.13,1.4,1.01,2.41,1.26,2.27,/en/squads/ad2be733/2019-2020/Sevilla-Stats
28,27.0,49.0,38,418,3420,38,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,1.18,0.89,2.08,1.05,1.95,1.14,0.83,1.97,0.98,1.81,/en/squads/dcc91a7b/2019-2020/Valencia-Stats
30,27.1,44.7,38,418,3420,38,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,0.82,0.5,1.32,0.74,1.24,0.96,0.63,1.59,0.85,1.48,/en/squads/17859612/2019-2020/Valladolid-Stats
25,27.6,52.9,38,418,3420,38,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,1.63,1.05,2.68,1.37,2.42,1.67,1.13,2.81,1.45,2.59,/en/squads/2a8183b3/2019-2020/Villarreal-Stats
30,28.7,42.8,38,418,3420,38,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,26.6,49.9,38,418,3420,38,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
25,27.3,52.3,38,418,3420,38,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.0,1.39,1.07,2.46,1.24,2.31,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
25,26.4,65.5,38,418,3420,38,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.0,3.34,1.94,1.4,3.33,1.77,3.16,/en/squads/206d90db/2020-2021/Barcelona-Stats
25,27.9,53.6,38,418,3420,38,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.94,/en/squads/fc536746/2020-2021/Real-Betis-Stats
30,26.6,53.3,38,418,3420,38,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
34,28.8,34.8,38,418,3420,38,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
30,28.2,49.3,38,418,3420,38,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79,/en/squads/bea5c710/2020-2021/Eibar-Stats
30,28.1,47.5,38,418,3420,38,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.3,/en/squads/6c8b07df/2020-2021/Elche-Stats
31,26.7,43.3,38,418,3420,38,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.0,0.91,0.62,1.53,0.8,1.42,/en/squads/7848bd64/2020-2021/Getafe-Stats
34,27.4,41.4,38,418,3420,38,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.7,1.79,0.98,1.68,/en/squads/a0435291/2020-2021/Granada-Stats
27,28.0,48.3,38,418,3420,38,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.7,1.73,0.95,1.65,/en/squads/c6c493e6/2020-2021/Huesca-Stats
29,28.0,52.2,38,418,3420,38,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72,/en/squads/9800b6a1/2020-2021/Levante-Stats
28,27.9,43.2,38,418,3420,38,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,0.95,0.66,1.61,0.82,1.47,1.02,0.66,1.68,0.91,1.57,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
30,27.9,59.3,38,418,3420,38,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,1.68,1.39,3.08,1.61,3.0,1.62,1.25,2.87,1.56,2.8,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
30,25.0,54.9,38,418,3420,38,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,1.53,1.03,2.55,1.29,2.32,1.6,1.04,2.64,1.36,2.4,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
26,28.1,60.9,38,418,3420,38,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,1.37,0.95,2.32,1.21,2.16,1.43,1.08,2.51,1.29,2.37,/en/squads/ad2be733/2020-2021/Sevilla-Stats
30,25.2,46.9,38,418,3420,38,48,35,83,40,8,10,82,5,42.6,34.8,27.3,62.1,575,1180,1.26,0.92,2.18,1.05,1.97,1.12,0.72,1.84,0.92,1.63,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
32,28.1,45.2,38,418,3420,38,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,0.89,0.55,1.45,0.71,1.26,1.05,0.64,1.69,0.89,1.53,/en/squads/17859612/2020-2021/Valladolid-Stats
29,28.0,55.2,38,418,3420,38,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,1.5,0.87,2.37,1.18,2.05,1.48,1.06,2.55,1.22,2.29,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
33,27.9,42.0,38,418,3420,38,29,20,49,23,6,7,93,4,37.3,31.8,25.5,57.3,420,984,0.76,0.53,1.29,0.61,1.13,0.98,0.67,1.65,0.84,1.51,/en/squads/8d6fd021/2021-2022/Alaves-Stats
26,26.9,48.1,38,418,3420,38,40,34,74,37,3,7,90,4,49.6,44.0,37.5,81.6,653,1572,1.05,0.89,1.95,0.97,1.87,1.31,0.99,2.29,1.16,2.15,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
26,28.1,50.6,38,418,3420,38,63,45,108,59,4,5,111,7,54.4,50.6,40.2,90.8,705,1463,1.66,1.18,2.84,1.55,2.74,1.43,1.06,2.49,1.33,2.39,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
